,地址,店名
396,臺中市南屯區惠文路497號一樓,王者娛樂休閒館
397,臺中市南屯區五權西路二段245號,唐采文具玩具批發：五權店
398,臺中市南屯區文心路一段521號2樓,家樂福：文心店
399,臺中市南屯區中和里黎明路1段263號,統一超商：上楓樹
400,臺中市南屯區大墩路717-5號,統一超商：墩業
401,臺中市南屯區文心南五路ㄧ段319號,統一超商：文豐
402,臺中市南屯區嶺東南路165號,統一超商：春安
403,臺中市南屯區黎明東街22號,統一超商：黎明東
404,臺中市西區臺灣大道3段251號5樓5樓,FUNBOX：台中大遠百
405,臺中市西區臺灣大道二段459號8樓,FUNBOX：廣三SOGO周邊商品販售中
406,臺中市西區健行路1049號6樓,TOYWORLD：台中綠園道周邊商品販售中
407,臺中市西區明義街6號,統一超商：明義
408,臺中市西區忠明南路117號,統一超商：鄉林夏都
409,臺中市西區美村路一段54號,統一超商：美生
410,臺中市西區雙龍里模範街34巷1號,統一超商：模範
411,臺中市西區美村路1段54號,統一超商：美生
412,臺中市東區復興路四段186號7樓,FUNBOX：台中新時代
413,臺中市東區南京路66號3樓,TOYWORLD：台中秀泰周邊商品販售中
414,臺中市東區東光園路142號,統一超商：光園
415,臺中市東區建德街174號,統一超商：鑫建德
416,臺中市東區進德路700號南館3F,GSE：台中三井
417,臺中市東區進德路600號4樓 40370櫃位,Lalaport 台中 Toyworld
418,臺中市后里區月眉東路2段181號D棟1樓(店號1004),FUNBOX：台中麗寶二期周邊商品販售中
419,臺中市后里區福容路201號2樓,TOYWORLD：台中麗寶周邊商品販售中
420,臺中市后里區福容路201號1樓,統一超商：新麗寶
421,臺中市后里區甲后路一段955號,統一超商：后宥
422,臺中市豐原區復興路2號5樓,FUNBOX：豐原太平洋周邊商品販售中
423,臺中市豐原區三豐路二段496號,統一超商：豐王
424,臺中市豐原區向陽路276號,統一超商：豐鑫
425,臺中市豐原區成功路500號4樓,玩具e哥：豐原家樂福
426,臺中市豐原區社興五街1號,全家：豐原社興店
427,臺中市豐原區水源路420號,愛買：豐原店
428,臺中市西屯區河南路三段120號B2樓,GSE：老虎城店
429,臺中市西屯區中清路二段1199號3樓,TOYWORLD：愛買水湳周邊商品販售中
430,臺中市西屯區河南路三段120號B2,玩具反斗城：台中老虎城店周邊商品販售中
431,臺中市西屯區臺灣大道3段301號6樓,鼎美玩具：台中新光周邊商品販售中
